VC,Tier,Proximity,Fit,Location,Contact,Thesis Fit,Network,Lead Capability,Location Score,Gravitas Score,Status,Intro Path,Evidence,Score Confidence
Category Ventures,Gate,Cold (discovered),48,,,15,10,10,8,5,DISCOVERED (AI-scored): Early-stage software investor but lacks clear evidence of Series A capability or AI/fintech focus for Innovera's needs,discovered via Exa find-similar; seed Craft Ventures,"thesis (15): Partners with founders building ambitious software at the earliest stages, focusing on engineers/researchers/scientists - https://categoryvc.com
network (10): No specific evidence of VC/corporate innovation team connections found - https://categoryvc.com
lead (10): States they invest at 'earliest stages' but no evidence of Series A leadership or $5-7M checks - https://categoryvc.com
location (8): No location information found on website - https://categoryvc.com
gravitas (5): Limited information about track record or notable investments available - https://categoryvc.com
source: https://categoryvc.com",low
Tailor Ventures,Gate,Cold (discovered),0,,,0,0,0,0,0,DISCOVERED (AI-scored): Cannot score Tailor Ventures as no website evidence was provided in the prompt,discovered via Exa find-similar; seed Craft Ventures,"thesis (0): No evidence available - website content not provided
network (0): No evidence available - website content not provided
lead (0): No evidence available - website content not provided
location (0): No evidence available - website content not provided
gravitas (0): No evidence available - website content not provided
source: https://tailorventures.com",low
Artisan Ventures,Gate,Cold (discovered),20,,,0,5,0,10,5,"DISCOVERED (AI-scored): Artisan Ventures is a private equity firm focused on acquiring and transforming niche companies, not a venture capital fund suitable for Series A investment.",discovered via Exa find-similar; seed Craft Ventures,"thesis (0): Artisan Ventures acquires niche companies rather than investing in AI/fintech/data infrastructure startups - https://artisan.vc
network (5): Has experience with GrapevineAI in creator economy/marketing tech which could offer some tech industry connections - https://artisan.vc
lead (0): No evidence of venture capital investments or Series A capability; they acquire companies - https://artisan.vc
location (10): Founder Nick Shah resides in Brooklyn, indicating NYC presence - https://artisan.vc
gravitas (5): Founder has exit experience (Ampush to Tinuiti) and Morgan Stanley TMT banking background - https://artisan.vc
source: https://artisan.vc",low
Moment Ventures,3 - Follow / participant,Cold (discovered),55,,,15,10,10,15,5,DISCOVERED (AI-scored): Generalist early-stage fund with limited evidence of AI/fintech focus or specific Series A lead experience at $100m valuations,discovered via Exa find-similar; seed Craft Ventures,"thesis (15): Invests in technology solutions that reimagine Future of Industries and transform how work is done - https://momentventures.com
network (10): Portfolio includes companies from logistics, food, education, e-commerce, software development - https://momentventures.com
lead (10): Early stage venture capital firm that invests early and works closely with founders - https://momentventures.com
location (15): Offices in Palo Alto - https://momentventures.com
gravitas (5): Investors include leading institutions and accomplished technology entrepreneurs - https://momentventures.com
source: https://momentventures.com",low
Graph Ventures,Gate,Cold (discovered),45,,,5,15,5,10,10,DISCOVERED (AI-scored): Graph Ventures appears to be a seed-stage generalist fund without the Series A lead capability or AI/fintech focus needed for Innovera.,discovered via Exa find-similar; seed Craft Ventures,"thesis (5): Graph Ventures is an early-stage fund that invests in companies when they are starting out, but no specific focus on AI/fintech/data infrastructure is mentioned. https://graphventures.com
network (15): They have backed over 300 teams since 2011 and can connect founders with virtually any fund through their network. https://graphventures.com
lead (5): The firm describes itself as investing in companies 'when they are starting out' with no mention of Series A rounds or $5-7M lead checks. https://graphventures.com
location (10): 37% of their investments have been outside the US with experience in Latin America, Europe, and Asia, showing geographic flexibility. https://graphventures.com
gravitas (10): Graph partners are active founders and operators who have founded or grown dozens of VC-backed companies as early executives. https://graphventures.com
source: https://graphventures.com",low
Begin Ventures,Gate,Cold (discovered),10,,,0,0,0,10,0,DISCOVERED (AI-scored): Newly established firm (2025) with minimal public information - cannot verify investment capacity or focus,discovered via Exa find-similar; seed Craft Ventures,"thesis (0): No investment thesis or portfolio information available on site + https://beginventures.com
network (0): No portfolio companies or partner backgrounds listed + https://beginventures.com
lead (0): No check size or fund size information provided + https://beginventures.com
location (10): Listed as Miami-Brooklyn which could access NYC/East Coast ecosystem + https://beginventures.com
gravitas (0): Est. 2025 indicates new firm with no track record + https://beginventures.com
source: https://beginventures.com",low
Formulate Ventures,Gate,Cold (discovered),35,,,15,5,5,5,5,DISCOVERED (AI-scored): Early-stage generalist fund that appears too small for Series A lead; focuses on pre-seed/seed with no evidence of $5M+ check capability.,discovered via Exa find-similar; seed Craft Ventures,"thesis (15): Invests in AI category including enterprise/B2B which could align with Innovera's AI tooling focus. Source: https://formulateventures.com
network (5): Portfolio includes enterprise/B2B and fintech companies but no specific evidence of VC/corporate innovation team connections. Source: https://formulateventures.com
lead (5): Focuses on '0 to 1' suggesting pre-seed/seed stage; no evidence of Series A capability or $5-7M check sizes. Source: https://formulateventures.com
location (5): No location information provided on website. Source: https://formulateventures.com
gravitas (5): Single GP fund (Morgan Lai) with limited public profile information available. Source: https://formulateventures.com
source: https://formulateventures.com",low
Unconventional Ventures,Gate,Cold (discovered),26,,,5,5,5,8,3,DISCOVERED (AI-scored): Nordic impact tech investor with diversity focus - poor fit for AI tooling for VCs at Series A scale,discovered via Exa find-similar; seed Unusual Ventures,"thesis (5): Focuses on impact tech and diverse founders in the Nordics, not AI/fintech/data infrastructure - https://unconventional.vc
network (5): Targets Nordic startup ecosystem with impact focus, unlikely to have VC/corporate innovation customers - https://unconventional.vc
lead (5): No evidence of check sizes or Series A capability; appears to be early-stage impact investor - https://unconventional.vc
location (8): Based in Nordics/Europe focusing on Nordic ecosystem - https://unconventional.vc
gravitas (3): Has multiple funds (Fund I and Fund II) but limited team visibility beyond 4 members - https://unconventional.vc
source: https://unconventional.vc",low
Atypical Ventures,Gate,Cold (discovered),22,,,5,5,0,5,7,DISCOVERED (AI-scored): Pre-seed/seed generalist fund with $500K-$1M checks - wrong stage and check size for this Series A.,discovered via Exa find-similar; seed Unusual Ventures,"thesis (5): Atypical is a generalist fund focused on technical founders across atoms, bits, and cells, not specifically AI/fintech/data infrastructure - https://atypical.com
network (5): No evidence of VC/corporate innovation network; they mention helping with go-to-market and talent but no specific customer connections - https://atypical.com
lead (0): They invest $500K-$1M at pre-seed and seed, not $5-7M Series A checks - https://atypical.com
location (5): No location information provided on website - https://atypical.com
gravitas (7): They position themselves as conviction-driven contrarians who back 'weird' ideas others skip - https://atypical.com
source: https://atypical.com",low
Unknown Ventures,Gate,Cold (discovered),0,,,0,0,0,0,0,"DISCOVERED (AI-scored): Unknown Ventures is an entertainment venture studio, not a VC fund suitable for Innovera's AI tooling Series A.",discovered via Exa find-similar; seed Unusual Ventures,"thesis (0): Unknown Ventures is an entertainment venture studio, not focused on AI/fintech/data-infra - https://unknown.vc
network (0): No evidence of VC or corporate innovation team connections - https://unknown.vc
lead (0): No evidence of investment capability or check sizes - https://unknown.vc
location (0): No location information provided - https://unknown.vc
gravitas (0): No evidence of investment track record or partners listed - https://unknown.vc
source: https://unknown.vc",low
