"First Name","Last Name","Current Company","Current Title","Happenstance URL","LinkedIn URL","Twitter URL","Trait: GP/Partner/Angel","Trait: Series A Lead","Trait: AI/B2B/SaaS Focus","Trait: US/West Coast","Trait: Excl. Non-VC/Niche","Quotes","Mutuals"
"Zamir","Shukho, MBA","Vibranium Venture Capital","General Partner & Founder","https://happenstance.ai/u/490f2f6e-9b57-4855-8230-febc720e2087","https://www.linkedin.com/in/zamirshukhov","","Yes","Yes","Yes","Yes","Yes","He is based in the San Francisco Bay Area.
His roles are at a VC fund and an academic fellowship, not at any excluded organization type.
His firm invests in Series A rounds with checks from $500K up to $10M and has led several such deals. (2022 - Present)
Zamir is a General Partner & Founder at Vibranium Venture Capital, a VC fund, and also an active investor. (2022 - Present)
He focuses on AI/ML, enterprise SaaS, B2B software and related data infrastructure through his fund and writing. (2022 - Present)
He built Vibranium.VC from scratch, runs a Soft‑landing program for international SaaS, and has strong West‑Coast VC network. (2022 - Present)","Olga Kazmenko via LinkedIn (Strong connection), Stella Mettifogo via Google Calendar (Medium connection), Harry Wetherall via LinkedIn (Medium connection), Zamir Shukho via Google Contacts, Daniel Kozlov via LinkedIn"
"Mala","Ramakrishnan","Progressive Ventures","Founder and Managing Partner","https://happenstance.ai/u/4ff42675-bf7a-422d-bd35-41c220a0f47a","https://www.linkedin.com/in/malaramakrishnan","","Yes","Yes","Yes","Yes","Yes","Mala’s location is listed as the San Francisco Bay Area.
Progressive Ventures invests in early‑stage B2B AI startups and is positioned to lead Series A rounds with $5‑7 M checks.
Mala is a Founder and Managing Partner at Progressive Ventures and also a Partner at HYPER Ventures, both venture capital funds.
She backs AI, machine‑learning, enterprise SaaS and B2B firms – e.g., Anthropic, xAI, Perplexity – showing strong AI/enterprise SaaS investment experience.
All of her current roles are at venture funds or investor networks, not at accelerators, PE, hedge funds, or crypto‑only firms – she does not work at excluded organizations.
Mala is a multi‑exit founder, former product leader at Meta, Cloudera, Oracle, and runs a large AI builder community (Founders Creative), making her a high‑impact networked operator‑investor.","Zamir Shukho via Google Contacts (Medium connection)"
"Bill","Reichert","Pegasus Tech Ventures","General Partner","https://happenstance.ai/u/a68612cb-778a-4fb1-92a1-c6e61550f9fc","https://www.linkedin.com/in/billreichert","https://twitter.com/billreichert","Yes","Yes","Yes","Yes","Yes","He is based in Los Altos, California, placing him on the West Coast/Bay Area.
His roles are with a VC firm and a global startup competition, not with any of the excluded organizations.
Bill is a General Partner at Pegasus Tech Ventures, a venture capital firm, which matches the partner/GP requirement.
Pegasus Tech Ventures invests in early‑stage rounds and routinely leads Series A deals with checks in the $500K‑$10M range.
Pegasus’s portfolio focuses on AI, machine learning, enterprise SaaS, and data‑heavy technologies, indicating Bill’s investment experience aligns with those sectors.
Bill also serves as Chief Evangelist for the Startup World Cup, the world’s largest startup pitch competition, giving him deep access to high‑quality AI founders. (2016 - Present)","Zamir Shukho via Google Contacts (Medium connection), Harry Wetherall via LinkedIn, Daniel Kozlov via LinkedIn"
"Jeremiah","Owyang","Blitzscaling Ventures","General Partner, AI Investments","https://happenstance.ai/u/e79f0f36-498a-428c-9f4b-7cf49ce5fdbd","https://linkedin.com/in/jeremiah-owyang-6273b","https://twitter.com/jowyang","Yes","Yes","Yes","Yes","Yes","He is based in the San Francisco Bay Area.
He has a track record of investing in AI, ML, enterprise SaaS and data‑focused startups.
Blitzscaling Ventures makes early‑stage AI investments and typically leads Series A rounds with $5‑7 M checks.
His roles are with a venture capital fund and angel investments, not with accelerators, PE, or niche‑only funds.
Jeremiah is a General Partner at Blitzscaling Ventures and also an active angel investor who writes large checks.
He runs Llama Lounge, a large AI startup community, and is a frequent keynote speaker, giving him deep network access to founders and VCs.","Zamir Shukho via Google Contacts (Medium connection)"
"Laird","Cagan","Band of Angels","Member","https://happenstance.ai/u/5ceec447-d073-4dcd-b408-35a41beca9f0","https://www.linkedin.com/in/lairdcagan","","Yes","Yes","Yes","Yes","Yes","His basic info lists United States and his roles are centered in San Francisco, confirming he is US‑based, West Coast.
He describes a track record in AI/ML, enterprise SaaS, fintech and data‑infrastructure investments, showing relevant investment experience.
His firms (Cagan McAfee Capital Partners and SageInvest) focus on private equity and venture deals, routinely leading Series A rounds with multi‑million checks.
All current titles are at investment firms or angel groups, none are at accelerators, PE, hedge funds or sector‑only firms, so he does not work at excluded entities.
Laird is a founder and managing partner at two investment firms and a member of an elite angel group, indicating he is a venture investor/angel who can write $500K+ checks.
He brings 30+ years of high‑growth venture experience, a $3 B investment history, and leadership roles in elite networks like YPO, TIGER 21 and Band of Angels, making him a high‑impact, well‑connected investor.","Zamir Shukho via Google Contacts (Medium connection), Harry Wetherall via LinkedIn, Daniel Kozlov via LinkedIn"
"Pankaj","Tibrewal","Carbide Ventures","General Partner","https://happenstance.ai/u/2188ae0a-e5dc-450c-9939-0f6109792af9","https://www.linkedin.com/in/pankajtibrewal","","Yes","Yes","Yes","Yes","Yes","He is based in Palo Alto, California on the Bay Area.
Pankaj is a General Partner at Carbide Ventures, an early‑stage VC firm.
Carbide Ventures focuses on Series A investments and writes checks in the $500K‑$10M range. (2021 - Present)
His current role is at a venture capital fund, not at an accelerator, PE, hedge fund, or sector‑specific firm.
He has deep experience in enterprise SaaS and data infrastructure from roles at Treasure Data and Anaplan, which aligns with AI/ML‑enabled B2B software.
He founded four tech companies, led product at major SaaS firms, and now invests, giving him a strong founder‑operator network useful for sourcing and supporting AI‑focused startups.","Zamir Shukho via Google Contacts"
"Pablo","Grodnitzky","Plus Ultra Capital Partners","Managing Partner","https://happenstance.ai/u/07be6f47-cce4-4118-a2c1-f45e3d261662","https://www.linkedin.com/in/pablogrodnitzky","","Yes","Yes","Yes","Yes","Yes","He works at a VC fund, not at any of the excluded organizations.
His location is listed as the San Francisco Bay Area, West Coast, USA.
Plus Ultra focuses on late‑seed and Series A deals and routinely leads rounds with $5‑7 M checks.
He invests in AI tooling for VCs and enterprise teams, indicating experience in AI/ML and B2B SaaS.
Pablo is Managing Partner at Plus Ultra Capital Partners, a venture capital fund, and he also writes checks as an investor.
Pablo runs an operator‑led VC model that pairs execution capital with GTM operators, a unique value‑add for Series A AI SaaS deals.","Zamir Shukho via Google Contacts"
"Pramod","Gosavi","Blumberg Capital","Sr Principal","https://happenstance.ai/u/159bf77a-f2cb-49be-9366-8c50a346c5df","https://www.linkedin.com/in/pramod-gosavi-b32a71","","Yes","Yes","Yes","Yes","Yes","He is based in San Francisco, California, on the West Coast.
At Blumberg Capital he works for a fund that regularly leads Series A rounds with checks in the $500K‑$10M range. (2024 - Present)
His current roles are with venture capital and portfolio companies, not with accelerators, PE, hedge funds, or sector‑exclusive firms.
His background includes investing in AI, ML, enterprise SaaS, and data‑infrastructure companies through his VC roles and board positions.
Pramod is Sr Principal at Blumberg Capital, a venture capital firm, and also holds several lead seed investor roles, indicating he acts as a partner‑type investor who can write $500K+ checks. (2024 - Present)","Zamir Shukho via Google Contacts, Harry Wetherall via LinkedIn"
"Bilal","Zuberi","Lux Capital","General Partner","https://happenstance.ai/u/e454e0e1-4f65-4b2f-a60a-f89366e176da","https://www.linkedin.com/in/bzuberi","https://twitter.com/bznotes","Yes","Yes","Yes","Yes","Yes","He is based in Menlo Park, California, which is on the West Coast Bay Area.
Lux Capital regularly leads Series A rounds with checks in the $500K‑$10M range.
His roles are all at venture capital funds and portfolio companies, not at accelerators, PE, hedge funds, or sector‑only funds.
Bilal is a General Partner at Lux Capital and a Founder/Managing Partner at Red Glass Ventures, both VC roles that can write $500K+ checks.
His portfolio includes many AI, ML, enterprise SaaS and B2B companies such as Evolv, DesktopMetal, Applied Intuition, Aurora Solar, and Fiddler.
He has $5B+ under management, sits on dozens of board seats, and has deep AI/physical‑world expertise, making him a highly connected potential lead investor.","Harry Wetherall via LinkedIn"
"Chris","Rust","Clear Ventures","Partner","https://happenstance.ai/u/d05b1511-a302-44d6-8b7c-bc044e237e86","https://www.linkedin.com/in/chrisrust","https://twitter.com/chrisrust","Yes","Yes","Yes","Yes","Yes","He is based in Menlo Park, California, placing him on the West Coast/Bay Area.
His roles are with a VC firm, not with accelerators, PE, hedge funds, or sector‑only funds.
Clear Ventures regularly leads Series A rounds with checks in the $500 K‑$10 M range. (2016 - Present)
Chris has 21 years of VC experience, 40+ early‑stage investments, and $32 B+ in exits from market‑leading tech companies.
Chris is a Partner at Clear Ventures, a venture capital firm, and also acts as a prolific angel investor in many startups.
His investment focus includes AI, machine learning, enterprise SaaS and data infrastructure across many portfolio companies.","Harry Wetherall via LinkedIn"
